Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Chittamwood or Woollybucket Bumelia,0,Sideroxylon lanuginosum (Bumelia lanuginosa),"sun, partial sun",10,Chittamwood is a tardily deciduous weedy large shrub or small tree with an upright oval crown. The mildly interesting small fragrant white spring flowers are followed by lustrous black berries in early autumn which birds eat and then spread widely. Plants develop a very extensive tap root in relation to the shoots and are difficult to eradicate as weeds. They are also spiny when young. Perhaps suitable for naturalizing in difficult sites.,"Shrub, large shrub, tree, small tree","Small inverted bell-shaped perfect flowers, mildly fragrant, interesting if not particularly showy",Summer,Small lustrous black ovoid fleshy berry,270,210,10,"Tough native shrub or tree, but of little ornamental merit; can become a serious weed problem; borer damage and sooty mold may develop.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Eve's Necklace,0,Sophora affinis,"sun, partial sun, shade",10,Eve's Necklace is an attractive deciduous native Texas small tree. The dark lustrous green leaves are borne in a rounded to upright oval crown. The spring flowers vary from off-white to a good pink. The persistent fruit pods resemble a green to black necklace and hence the common name.,Small tree,Off-white to pink,Spring,"Green pods turning black and resembling a beaded necklace, persistent",240,150,10,An attractive small tree that is not as exacting as Texas Mountain Laurel (Sophora affinis) for perfect drainage and is seldom troubled by serious insect or disease problems. Persistent fruit can be a maintenance liability and are reported poisonous.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Century Plant,0,Agave americana,sun,10,Century Plants are known as such due to the many years (20+) between flowering events. A large rosette of succulent ovate green to blue-green leaves tipped with a sharp spines form first. Small suckers or pups form around the mother plant. The foliage provides a classic arid landscape look and when flowering occurs it is spectacular.,Medium shrub,"10 ft to 20 ft, rarely 30 ft tall candelobra bearing lily-like yellow-green flowers, attractive to humingbirds","Spring, summer","Not ornamental, old flower stalk is a pedestrian hazard",60,90,None,"Can be grown in protected locations in USDA zone 7b. Mother plant dies after flowering, but suckers or pups arise at its base. The spiny leaves are a pedestrian hazard.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Coralberry,0,Symphoricarpos orbiculatus,"sun, partial sun, shade",10,"Coralberry is a small woody shrub or subshrub with an indefinite spread due to its growth from rhizomes. The small orbiculate green to bluish green leaves, fine textured twigs, small pink flowers, and small coaral pink to purple-red drupes give the plant a soft texture. It requires periodic pruning to remain tidy. Coralberry is native to Texas and is often found as an understory plant along woodland edges, but it tends to become open in dense shade.","Perennial, groundcover, shrub, small shrub","Perfect, small pinkish green to pink cup-shaped to bell-shaped flowers",Summer,Tiny coral pink to purple-pink berry-like drupes in late summer to early fall,36,0,10,Best in naturalized settings or informal landscapes. Can function as a tall groundcover.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Tree Yellow Bells,0,Tecoma stans var. stans,"sun, partial sun",10,Tree Yellow Bells represents the species type which is a shurb or small tree used as a woody plant in Rio Grande Valley landscapes. The leaflets on the species type are broader than on the more widely utilized Tecoma stans var. angustata. Tecoma stans var. stans is less cold hardy than T. stans var. angustata and is more likely to be encountered as a seasonally planted tropical annual over much of our region.,"Shrub, medium shrub, large shrub, tree, small tree, tropical","Yellow, often more profusely borne and somewhat larger than on T. stans var. angustata","Spring, summer, fall, winter",Greenbean shaped two-valved woody capsule with flat winged seeds,100,100,None,"Tolerant of heat, drought, high pH soils, salty soil and irrigation water. Can be used in protected locations in USDA zone 9b.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Yellow Bells or Esperanza,0,Tecoma stans var. angustata,"sun, partial sun",10,"Yellow Bells is a native Texas deciduous suckering shrub, subshrub, herbaceous perennial, or annual depending on the portion of the state in which it is grown. Despite rather narrow leaflets, the overall form of the shrub is somewhat coarse and ratty. The yellow flowers that occur sporadically from late spring to frost are its best attribute. Periodic pruning to maintain canopy structure is adviseable.","Warm season annual, shrub, small shrub, medium shrub, tropical","Bright yellow trumpet-shaped flowers, spring to frost","Spring, summer, fall",Woody two-valved greenbean-shaped capsule,54,54,10,Very tough durable heat and drought tolerant shrub; soil adaptable as long as well drained. More cold hardy than the species type.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Asian Jasmine,0,Trachelospermum asiaticum,"sun, partial sun, shade",10,"Asian Jasmine is perhaps the premier all-purpose groundcover for the southern two-thirds of Texas. Over utilized because of this fact. Fine textured variegated or dark glossy evergreen foliage blends well with most companion plantings. This sprawling vine quickly suppresses weeds without chocking out medium size shrubs or trees. Tolerates moderate heat, drought, soil or foliar salts, urban conditions, sun or shade. Few serious pests or diseases.","Groundcover, vine","White, rarely produced",Spring,Not ornamental,15,0,7,Use can be stretched into USDA zone 7 if winter damage or death of above ground portions are tolerated; returns quickly in spring from roots / crown of the plant in spring.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Cedar Elm,0,Ulmus crassifolia,sun,10,"Cedar Elm is a medium to large size deciduous shade tree that is native to Texas. Growth form is typically rounded, oval, or upright oval, but can sometimes be vase-shaped. A tree that is tolerant of many urban sites, Cedar Elm is becoming more popular in the landscape trade. While susceptible to Dutch Elm Disease, it appears to be less of a problem than on Ulmus americana or Ulmus alata.","Medium tree, large tree","Red-brown to red-green, inconspicuous","Summer, fall",Winged samara in autumn,480,660,10,"Tough durable tree worthy of greater testing. Subject to occasional problems with powdery mildew, elm leaf beetle, mistletoe, and DED.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Mexican Buckeye,0,Ungnadia speciosa,"sun, partial sun",10,Mexican Buckeye derives its name from the superficial resemblence of its fruiting structure to that of the true buckeyes (Aesculus spp.). Mexican Buckeye grows to be a large shrub to small multi-stem deciduous tree. Its primary landscape feature is its pink-purple spring flowers that resemble those of Redbuds (Cercis spp.). A decent yellow fall color sometimes develops.,"Large shrub, small tree","Pink, rose, pink-purple",Spring,Three-valved woody capsule containing poisonous red-brown to black marble-size seeds,66,108,10,"Tolerates almost any soil as long as it is well drained. Very heat, drought, and soil salt tolerant. Performs better in eastern portions of the state than most west Texas natives.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chisos Rosewood,0,Vauquelinia angustifolia,sun,10,"Chisos Rosewood is an excellent broad-leaved evergreen shrub for arid region landscapes. The handsome dark glossy linear-lanceolate leaves are excellent foils for the clusters of white flowers. Plants work well as informal evergreen hedges, screens, or as specimens in xeriscape plantings. Leaves are finer textured than those of Vaquelinia californica, the Arizona Rosewood.","Shrub, medium shrub, large shrub","White, fragrant, small 1/4 inch diameter perfect flowers in flattened cyme-like clusters",Spring,Clusters of tiny semi-woody capsules with small blackish winged seeds,120,108,9,"This species is very tolerant of heat, drought, wind and adaptable as to soil types as long as they are well drained. Fireblight can be a problem in humid climates.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chenille Plant,0,Acalypha hispida,"sun, partial sun",10,Chenille plant is a large tropical shrub or small tree that is widely grown as a summer annual accent or high light conservatory plant. Key ornamental features include large coarse textured dark glossy green leaves and long rope-like bright red flowers.,"Warm season annual, medium shrub, large shrub, small tree, tropical, interiorscape","Red, 6 inch to 2 ft long cattail-like spikes of tiny flowers.","Spring, summer, fall",Not ornamental.,54,0,8,Fairly easy to grown; susceptible to several insect pests; requires good drainage and a steady moisture supply.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Mexican Zinnia,0,Zinnia angustifolia (Zinnia linearis),sun,10,"Mexican Zinnia offers a more heat tolerant and disease resistant alternative to Zinnia elegans for our region. Mexican Zinnia forms a dense spreading mound of dark green linear-lanceolate leaves, about a foot tall. A profusion of small white, yellow, or orange composite flowers are borne from spring to fall.",Warm season annual,"White, yellow, or orange","Spring, summer, fall","Small achenes, not ornamental",14,18,None,"Tends to be slower developing in the spring, really thriving once warm temperatures arrive; while plants survive the mid-summer heat, they tend to play out by mid-autumn. This was the best adapted Zinnia spp. in our Central Texas trials. Well drained soils are important.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
